Step,ExactCount,AvgEstimate,StdDev
1000,1000,992.308,23.3083
2000,2000,1967.67,62.2628
3000,3000,2967.39,62.4169
4000,4000,3912.01,80.0737
5000,5000,4871.73,125.645
6000,6000,5823.32,160.562
7000,7000,6794.23,199.013
8000,8000,7726.2,215.143
9000,9000,8689.96,255.557
10000,10000,9669.19,270.622
11000,11000,10655.9,316.134
12000,12000,11638.5,368.87
13000,13000,12591.4,414.569
14000,14000,13585.5,429.917
15000,15000,14590.7,495.167
16000,16000,15570.4,507.559
17000,17000,16496.1,506.531
18000,18000,17471.3,521.033
19000,19000,18427,565.27
20000,20000,19344.2,629.817
21000,21000,20311,700.409
22000,22000,21245.7,737.669
23000,23000,22110.6,748.854
24000,24000,23002.9,776.117
25000,25000,23967.2,760.81
26000,26000,24918.4,819.628
27000,27000,25881.2,891.042
28000,28000,26915.1,880.358
29000,29000,27834.7,905.535
30000,30000,28770.6,979.185
31000,31000,29687.4,970.049
32000,32000,30673.1,1029.05
33000,33000,31570.7,1040.51
34000,34000,32542.9,1121.64
35000,35000,33563.9,1244.47
36000,36000,34524,1272.09
37000,37000,35532.5,1361.54
38000,38000,36606.9,1420.61
39000,39000,37569.3,1537.52
40000,40000,38522.9,1622.44
41000,41000,39488.7,1606.88
42000,42000,40416,1660.08
43000,43000,41349.6,1674.66
44000,44000,42369.3,1636.15
45000,45000,43341.3,1671.98
46000,46000,44292.8,1635.78
47000,47000,45238.2,1772.16
48000,48000,46193,1876.49
49000,49000,47146.2,1972.11
50000,50000,48140.9,1973.21
51000,51000,49082.8,2054.91
52000,52000,50124.9,2170.18
53000,53000,51083.4,2235.33
54000,54000,51951.6,2199.19
55000,55000,52841.9,2239.32
56000,56000,53873.5,2331.38
57000,57000,54826.1,2361.8
58000,58000,55735.7,2434.33
59000,59000,56707.2,2466.46
60000,60000,57601.7,2525.84
61000,61000,58579.4,2626.23
62000,62000,59649.7,2624.8
63000,63000,60686.5,2702.11
64000,64000,61593.6,2748.17
65000,65000,62626.6,2700.61
66000,66000,63758.7,2752.58
67000,67000,64764.8,2903.94
68000,68000,65698,2981.01
69000,69000,66673,3022.54
70000,70000,67620.4,3033.33
71000,71000,68692.7,3043.11
72000,72000,69635.2,3039.03
73000,73000,70696.5,2993.07
74000,74000,71540.8,3013.89
75000,75000,72421.2,3055.64
76000,76000,73203.8,3073.52
77000,77000,74100.3,3134.06
78000,78000,74991.1,3108.8
79000,79000,75952.2,3293.74
80000,80000,76815.8,3316.53
