Step,ExactCount,AvgEstimate,StdDev
1000,1000,1000.26,29.1381
2000,2000,1999.19,76.7879
3000,3000,2974.46,79.2281
4000,4000,3929.8,123.966
5000,5000,4893.04,141.782
6000,6000,5855.02,175.888
7000,7000,6818.85,187.556
8000,8000,7760.98,242.341
9000,9000,8686.27,260.015
10000,10000,9617.37,311.134
11000,11000,10626,316.368
12000,12000,11534.4,366.069
13000,13000,12514.6,371.238
14000,14000,13465.9,412.156
15000,15000,14467.5,513.638
16000,16000,15400.2,549.396
17000,17000,16409.1,556.523
18000,18000,17348.4,512.47
19000,19000,18235.9,572.829
20000,20000,19195.8,583.782
21000,21000,20165.8,649.504
22000,22000,21135.4,675.419
23000,23000,22061.7,673.315
24000,24000,23078.3,690.174
25000,25000,23995.1,688.249
26000,26000,24972.6,749.589
27000,27000,25949,826.393
28000,28000,26935.4,861.239
29000,29000,27920.9,895.538
30000,30000,28855.4,900.74
31000,31000,29745.7,896.03
32000,32000,30705.4,901.311
33000,33000,31660.4,887.967
34000,34000,32628.7,908.29
35000,35000,33541.9,928.977
36000,36000,34495.8,973.035
37000,37000,35492.5,990.047
38000,38000,36512,977.073
39000,39000,37488.7,929.409
40000,40000,38411.2,841.2
41000,41000,39428.7,887.152
42000,42000,40299.2,916.418
43000,43000,41247.6,954.685
44000,44000,42226,1038.75
45000,45000,43168.3,1076.29
46000,46000,44142.4,1103.35
47000,47000,45063.2,1156.33
48000,48000,46060.6,1222.71
49000,49000,47016.3,1273.73
50000,50000,48004.7,1356.05
51000,51000,48988.1,1373.39
52000,52000,49941.6,1471.72
53000,53000,50898.3,1492.9
54000,54000,51874.2,1513.45
55000,55000,52763.5,1581.95
56000,56000,53734,1677.04
57000,57000,54676.1,1677.68
58000,58000,55672.2,1794.43
59000,59000,56656.9,1807.86
60000,60000,57617.1,1873.77
61000,61000,58644.2,1927.51
62000,62000,59649.2,1935.82
63000,63000,60555.1,1948.58
64000,64000,61388.5,1949.19
65000,65000,62413.3,1937.34
66000,66000,63436.3,2007.02
67000,67000,64462.7,2143.18
68000,68000,65438.9,2195.55
69000,69000,66535.8,2249.32
70000,70000,67612.9,2362.16
71000,71000,68534.4,2327.91
72000,72000,69466.4,2378.99
73000,73000,70364.1,2442.79
74000,74000,71209.3,2506.43
75000,75000,72233,2595.34
76000,76000,73167.8,2573.2
77000,77000,74101.8,2647.86
78000,78000,74979.6,2657.03
79000,79000,75972,2779.39
80000,80000,76883.2,2787.8
